experiment,run,role,node,source_log,sync_buffer_us,sync_prep_us,guard_us,pac,phase,count,min_us,max_us,avg_us,first_slot_prep_max_us,phase_max_share_percent,result
wait_buffer_sweep,r1,sensor,N2,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb2000_sp2500_20260901_spiopt/exp4_32_s3_r1_n2.log,2000,2500,200,8,sync_event_detect_to_beacon_ready,1000,153,153,153.0,1581,9.677,PASS
wait_buffer_sweep,r1,sensor,N2,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb2000_sp2500_20260901_spiopt/exp4_32_s3_r1_n2.log,2000,2500,200,8,sensor_data_phy_config,1000,991,991,991.0,1581,62.682,PASS
wait_buffer_sweep,r1,sensor,N2,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb2000_sp2500_20260901_spiopt/exp4_32_s3_r1_n2.log,2000,2500,200,8,sensor_tx_buffer_write,1000,73,73,73.0,1581,4.617,PASS
wait_buffer_sweep,r1,sensor,N2,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb2000_sp2500_20260901_spiopt/exp4_32_s3_r1_n2.log,2000,2500,200,8,sensor_delayed_tx_arm_call,1000,174,174,174.0,1581,11.006,PASS
wait_buffer_sweep,r1,sensor,N3,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb2000_sp2500_20260901_spiopt/exp4_32_s3_r1_n3.log,2000,2500,200,8,sync_event_detect_to_frame_read,1000,126,126,126.0,1600,7.875,PASS
wait_buffer_sweep,r1,sensor,N3,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb2000_sp2500_20260901_spiopt/exp4_32_s3_r1_n3.log,2000,2500,200,8,sync_event_detect_to_beacon_ready,1000,153,153,153.0,1600,9.562,PASS
wait_buffer_sweep,r1,sensor,N3,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb2000_sp2500_20260901_spiopt/exp4_32_s3_r1_n3.log,2000,2500,200,8,sensor_data_phy_config,1000,991,991,991.0,1600,61.938,PASS
wait_buffer_sweep,r1,sensor,N3,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb2000_sp2500_20260901_spiopt/exp4_32_s3_r1_n3.log,2000,2500,200,8,sensor_tx_buffer_write,1000,73,73,73.0,1600,4.562,PASS
wait_buffer_sweep,r1,sensor,N3,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb2000_sp2500_20260901_spiopt/exp4_32_s3_r1_n3.log,2000,2500,200,8,sensor_delayed_tx_arm_call,1000,174,174,174.0,1600,10.875,PASS
wait_buffer_sweep,r1,sensor,N4,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_buffer_sweep_0m_g200_l15_pac8_sb2000_sp2500_20260901_spiopt/exp4_32_s3_r1_n4.log,2000,2500,200,8,sync_event_detect_to_frame_read,1000,126,126,126.0,1594,7.905,PASS
